name,date,area,Q_cms,Ca,Mg,Na,K,Cl,SO4,NO3,X_pyrite,X_pyrite_sd,X_rain,X_rain_sd,X_fertilizer,X_fertilizer_sd
SH,2008-09-19T00:00:00Z,0.08,0,309.38,106.95,30.88,56.27,19.2,130.11,3.19,0.8591750588375815,0.07400204259510004,0.1296318527159907,0.05964073373648042,NA,NA
SH,2008-09-20T00:00:00Z,0.08,0,324.35,111.07,33.06,56.27,19.55,119.29,3.85,0.8067984233886727,0.08516463881858047,0.18589828346779483,0.07542711215172368,NA,NA
SH,2008-09-21T00:00:00Z,0.08,0,324.35,111.07,32.19,56.27,19.16,110.88,3.34,0.8090616967781377,0.09282559190011974,0.1864638012306702,0.08393076267086584,NA,NA
SH,2008-09-22T00:00:00Z,0.08,0,314.37,106.95,30.45,51.15,19.42,107.74,3.46,0.8036075187053086,0.08039179287986166,0.17608583128464603,0.07637157109743208,NA,NA
SH,2008-09-23T00:00:00Z,0.08,0,329.34,115.18,31.32,56.27,19.43,113.38,3.08,0.8181075588072569,0.08065214571083128,0.16900705242365674,0.07697030154923164,NA,NA
SH,2008-09-24T00:00:00Z,0.08,0,334.33,119.29,31.75,58.82,19.88,107.37,3.67,0.7999373575177976,0.07117276503100442,0.20226298351897293,0.0637881979843789,NA,NA
SH,2008-09-25T00:00:00Z,0.08,0,316.87,115.18,30.88,48.59,83.22,107.04,24.49,0.40088827133519306,0.17863561829808675,0.5862370674393246,0.17585280495888725,NA,NA
SH,2008-09-26T00:00:00Z,0.08,0,316.87,115.18,29.58,51.15,81.01,104.88,39.85,0.43503662961273226,0.18032344333097047,0.5546334441247361,0.18091827288551554,NA,NA
SH,2008-09-27T00:00:00Z,0.08,0,329.34,119.29,29.14,51.15,89.51,102.17,23.81,0.41490705013951745,0.16596708073127586,0.5835691101373558,0.163173220078578,NA,NA
SH,2008-09-28T00:00:00Z,0.08,3.041907802613812e-4,261.98,106.95,32.62,46.04,87.01,102.71,2.3,0.32817331031384994,0.17818671666456448,0.6705624466790021,0.1834452926110015,NA,NA
