site,date,Ca,Mg,Na,K,Cl,NO3,SO4,name,river,Ca_SO4,Mg_SO4,Na_SO4,K_SO4,Cl_SO4,NO3_SO4
21PA_WQX-WQN0214,2017-01-24,0.6445181895304157,0.2983748199958856,0.6712551135246292,0.059133005782860106,0.8039319662651961,0.13115152034383545,0.22495211326254425,J1,JUNIATA RIVER,2.865135073339769,1.326392607157457,2.9839911427780166,0.26286930549456666,3.573791571039467,0.5830197300292395
21PA_WQX-WQN0305,2017-05-17,0.5680672688257896,0.15243777000617156,0.5582048258075146,0.027341342206694406,0.537161876286915,0.0337695531424247,0.08132209036019154,S8,SUSQUEHANNA RIVER,6.985399247728481,1.8744939945713972,6.864122938000187,0.3362105190065113,6.605362379492698,0.4152568261938755
21PA_WQX-WQN0201,2015-08-20,0.6662009082289535,0.39498045669615306,0.748158887546891,0.057623988766775026,0.8133867373706034,0.028343578430322633,0.588475952529669,S2,SUSQUEHANNA RIVER,1.132078388870726,0.6711921787088478,1.2713499750173245,0.09792071964719716,1.382191972117323,0.04816437835476998
21PA_WQX-WQN0302,2017-12-13,0.7304755726333649,0.25772474799423983,0.9089695507597315,0.03846714563037267,0.8214537556765295,0.03669672371079555,0.2228607120549656,S6,SUSQUEHANNA RIVER,3.2777225106110355,1.1564386814427636,4.07864420057828,0.1726062224053438,3.685951409299675,0.16466214871351928
21PA_WQX-WQN0202,2015-12-16,0.5514247217925046,0.24361242542686692,0.4480253803333127,0.033607599307386764,0.4503145008885003,0.03816030899498097,0.28681032687903396,S3,SUSQUEHANNA RIVER,1.9226111130408328,0.849385125276935,1.5620964042981385,0.11717708937851883,1.5700777088072786,0.13305067990482639
21PA_WQX-WQN0305,2017-01-14,0.4669644193822047,0.14671878214359185,0.591958970966607,0.05631958422744723,0.6747242828533551,0.05251058422040881,0.08791380387257963,S8,SUSQUEHANNA RIVER,5.311616592759572,1.668893571665297,6.733401865133484,0.6406227662390267,7.674838911887897,0.5972962368516839
21PA_WQX-WQN0302,2016-07-12,0.9895703378412096,0.4665706644723308,1.527636054107373,0.06192085077867835,1.4667306010774828,0.012993781547402314,0.45264418072038304,S6,SUSQUEHANNA RIVER,2.186199182471116,1.0307669563536281,3.3749159255204404,0.13679807101492245,3.240361112658472,0.02870639257246766
21PA_WQX-WQN0214,2016-02-18,0.4725784719796396,0.22390454638963178,0.4093125076637351,0.043070926357411964,0.5186867119848814,0.10191551186218022,0.1618363522798251,J1,JUNIATA RIVER,2.92010086313934,1.3835244259737574,2.5291753175208025,0.26613876147517007,3.2050074329903326,0.6297442473614455
21PA_WQX-WQN0301,2018-07-26,0.167935026697939,0.18362476856613866,0.3615086345582681,0.07340472603668188,0.3582771556708882,0.048084131165799224,0.10884343118884034,S5,SUSQUEHANNA RIVER,1.542904563588926,1.68705420768622,3.3213638214975107,0.6744065786508211,3.291674580244418,0.4417733862356341
21PA_WQX-WQN0302,2017-05-10,0.37369629223015116,0.13272989096893642,0.46829526647266445,0.03665120989915162,0.4206893633825064,0.025559196670164992,0.10378825733916303,S6,SUSQUEHANNA RIVER,3.6005642816506,1.2788526792120314,4.512025526571395,0.35313445700684104,4.053342585835722,0.24626289452612857
21PA_WQX-WQN0301,2015-10-31,0.6437446978392135,0.29656449290269493,0.9656469362523825,0.058506380072790874,1.0690209573237806,0.03676811811490215,0.2995003123048095,S5,SUSQUEHANNA RIVER,2.1493957481555386,0.9901976082110836,3.2241934201044096,0.19534664128579393,3.56934838931256,0.12276487403953773
21PA_WQX-WQN0214,2014-03-31,0.5643994211287988,0.25529726393746144,0.3654234194349669,0.05033466928229616,0.44566045186585057,0.09424061342072008,0.1828024151571934,J1,JUNIATA RIVER,3.0874833937148303,1.3965748960041315,1.9990076122393468,0.2753501327595313,2.4379352509244656,0.5155326494985406
21PA_WQX-WQN0214,2017-08-15,0.677254354009681,0.29113351162312284,0.44184871975007667,0.0652458035259845,0.3803909401179026,0.11380268014593015,0.19288986050385176,J1,JUNIATA RIVER,3.511093596317662,1.5093251188146786,2.290678828819276,0.3382541900105818,1.9720629126086524,0.5899878814192914
21PA_WQX-WQN0214,2014-01-13,0.6936473875941913,0.3438798601110883,0.5785182095566076,0.04163863902011085,0.7738978365723633,0.11030435434470645,0.2175202998126171,J1,JUNIATA RIVER,3.1888857646469497,1.5809092779263527,2.659605609476321,0.19142415239396257,3.557818912713148,0.5070991279422111
21PA_WQX-WQN0306,2017-03-22,0.6479864264683866,0.12030446410203662,0.6054867275960886,0.027315765647099748,0.6487462273996558,0.05568763520315277,0.08140745367478658,S9,SUSQUEHANNA RIVER,7.9597923435490054,1.477806498931156,7.437730825176506,0.3355437913120719,7.969125652686822,0.6840606441962732
21PA_WQX-WQN0302,2017-08-14,0.7471929737012823,0.28734828224645137,0.9249766711444555,0.04181767493727349,0.893238936056187,0.022667723303847444,0.2706849885488236,S6,SUSQUEHANNA RIVER,2.760378319119498,1.0615597258900902,3.4171701803759866,0.1544883414535225,3.2999204752541087,0.08374207755432604
21PA_WQX-WQN0201,2016-06-15,0.6048205998303308,0.3234725365151203,0.5893926119918822,0.04826296795512848,0.6600287704848672,0.03387664474858461,0.36674994794919846,S2,SUSQUEHANNA RIVER,1.6491361572438707,0.8819974980880628,1.6070693814345784,0.13159638665255866,1.799669704592005,0.09236986927473849
21PA_WQX-WQN0302,2014-07-16,0.6212884874494734,0.21147911952273193,0.6568139070905845,0.04020635168280974,0.7068513242884945,0.03334118671778506,0.17658754944826147,S6,SUSQUEHANNA RIVER,3.518302900689526,1.1975879397131188,3.719480275607001,0.22768508769974088,4.002837835946047,0.1888082530277919
21PA_WQX-WQN0302,2014-04-14,0.4316582663805579,0.1522731948158815,0.5458950022507839,0.03688139893550359,0.6306941584633176,0.04276524805985706,0.12044555486154487,S6,SUSQUEHANNA RIVER,3.5838455547550896,1.26424918703661,4.532296794832351,0.30620805373763826,5.236342338978935,0.35505874923335085
21PA_WQX-WQN0214,2017-05-08,0.48405609062328453,0.20691215799218268,0.3593772516809543,0.04519378080376896,0.3887654077229007,0.08092555705483805,0.16628149073495732,J1,JUNIATA RIVER,2.9110641748746455,1.24434870698861,2.1612582981576702,0.2717908084899547,2.337995684333678,0.48667808243208804
21PA_WQX-WQN0214,2016-10-13,0.855831129297869,0.4484673935404238,0.7046612778057927,0.05872378082934551,0.7863932530392349,0.03291282029314543,0.35779721007703513,J1,JUNIATA RIVER,2.391944669198525,1.253412214823774,1.9694431872570397,0.16412587682475796,2.197874189320597,0.09198735866626565
21PA_WQX-WQN0301,2017-07-25,0.43804581066919507,0.1994651306315573,0.5522456532729841,0.05872378082934551,0.49489182861817044,0.06104221551114824,0.1443847595252967,S5,SUSQUEHANNA RIVER,3.0338784516412063,1.3814832762637275,3.8248195660583475,0.4067173088241139,3.4275904897806315,0.4227746454116124
